subject,number,avg_gpa,sum_students,title
CHLH,243,3.557480762796922,2989,Drug Use and Abuse
CHLH,206,3.446018874519398,2861,Human Sexuality
SHS,120,3.663964256701868,2462,"Child, Comm, & Lang Ability"
KIN,122,3.5265992647058813,2176,Physical Activity and Health
KIN,104,3.780334728033473,1912,Ice Skating
CHLH,101,3.346460606060606,1650,Introduction to Public Health
CHLH,100,3.463727621483378,1564,Contemporary Health
KIN,249,3.345062545989698,1359,Sport & Modern Society
RST,242,3.460717009916094,1311,Nature and American Culture
KIN,247,3.428167870036101,1108,Intro to Sport Psychology
RST,199,3.520871964679911,906,Management in RST
RST,100,3.147172839506172,810,RST in Modern Society
CHLH,260,3.574481830417227,743,Introduction to Medical Ethics
CHLH,274,3.052184300341296,586,Introduction to Epidemiology
CHLH,304,3.589850746268656,536,Foundations of Health Behavior
CHLH,250,3.530337078651686,534,Health Care Systems
CHLH,210,3.59810707456979,523,Community Health Organizations
RST,110,2.945737051792828,502,Service Delivery in RST
KIN,140,2.965433884297521,484,Social Sci of Human Movement
CHLH,421,3.6905797101449282,483,Health Data Analysis
KIN,150,3.238095238095238,483,Bioscience of Human Movement
CHLH,125,3.7955252100840333,476,Orientation KIN & Comm Health
KIN,262,3.03626582278481,474,"Motor Develop, Growth & Form"
CHLH,410,3.649870967741934,465,Public Health Practice
KIN,340,3.251740088105727,454,Soc & Psych of Phys Activity
SHS,170,3.355121951219513,451,Intro Hum Comm Sys & Disorders
CHLH,380,3.898429561200923,433,Orientation to Internship
RST,255,3.114754098360655,427,Ethical Issues in RST
KIN,355,3.214313186813187,364,Biomechanics of Human Movement
REHB,330,3.448171745152354,361,Disability in American Society
KIN,130,3.53983286908078,359,Analysis of Basic Movement
RST,130,3.095664739884392,346,Foundations of Sport Mgt
KIN,352,3.201166180758017,343,Bioenergetics of Movement
RST,200,3.4750733137829912,341,Leadership in RST
CHLH,457,3.64893175074184,337,Health Planning
KIN,257,3.252529761904762,336,"Coordination, Control & Skill"
SHS,150,2.906867469879518,332,Hearing Processes & Disorders
CHLH,455,3.619546827794562,331,Health Services Financing
CHLH,200,3.434375,320,Mental Health
CHLH,199,3.755907590759076,303,Campus Acq Rape Educ (CARE)
KIN,125,3.916666666666666,300,Orientation KIN & Comm Health
SHS,270,3.48993288590604,298,Comm Disability in the Media
KIN,109,3.823788395904436,293,Volleyball
SHS,320,3.608207885304659,279,Development of Spoken Language
CHLH,458,3.45927797833935,277,Health Administration
RST,316,3.043537906137184,277,Leisure and Human Development
KIN,369,3.541715328467152,274,Coaching Strategies
RST,101,3.356007604562738,263,Orientation to RST
SHS,222,3.682548262548262,259,Lang&Culture Deaf Communities
RST,230,2.976731517509728,257,Diversity in RST
KIN,142,3.7131889763779533,254,Contemporary Issues in Sport
RST,330,3.102430278884462,251,Leisure and Consumer Culture
SHS,280,3.368714859437751,249,Communication Neuroscience
RST,320,3.286178861788617,246,Leisure Services Marketing
CHLH,415,3.5889610389610382,231,International Health
SHS,375,3.87079295154185,227,Comm Partners & Health
SHS,200,3.152579185520362,221,General Phonetics
IHLT,102,3.547660550458715,218,Survey of Interdisc Health
SHS,240,3.02388625592417,211,Intro Sound & Hearing Science
KIN,268,3.727799043062201,209,Children's Movement
SHS,121,3.174306220095693,209,American Sign Language I
RST,354,2.849073170731707,205,Legal Aspects of Sport
KIN,100,3.830975609756097,205,Weight Training I
RST,300,3.59,200,Leisure Programming
RST,420,3.397668393782383,193,HR Management in RST
SHS,301,3.183455497382199,191,General Speech Science
RST,340,3.772804232804233,189,Facility Management in RST
SHS,300,2.945159574468085,188,Anat & Physiol Spch Mechanism
KIN,401,3.485401069518717,187,Measure & Eval in Kinesiology
RST,429,2.953043478260869,184,Contemporary Issues in RST
RST,370,3.46281767955801,181,Research Methods & Analysis
KIN,102,3.9203333333333332,180,Bowling
RST,480,3.440944444444445,180,Orientation to Practicum
SHS,450,3.21316384180791,177,Intro Audiol & Hear Disorders
SHS,451,3.203672316384181,177,Aural Rehab Children to Adults
SHS,473,3.959808917197453,157,Augmentative & Alt Comm
CHLH,456,3.660636942675158,157,Organization of Health Care
KIN,443,3.928733333333333,150,Psychophysiology in Ex & Sport
RST,410,2.9742,150,Administration of Leisure Serv
IHLT,101,3.550335570469798,149,Introduction to i-Health
KIN,448,3.418439716312056,141,Exercise & Health Psychology
KIN,120,3.20956204379562,137,Injuries in Sport
CHLH,404,3.547619047619047,126,Gerontology
SHS,321,3.3,119,American Sign Language III
IHLT,474,3.658260869565217,115,Pre-Field Experience in Health
CHLH,469,3.68504424778761,113,Environmental Health
IHLT,375,3.882972972972973,111,Interdis Collab in Health Serv
SHS,390,3.236454545454545,110,Neurodev Disorders in Context
SHS,411,3.364128440366973,109,Intro to Voice Disorders
KIN,101,3.76378640776699,103,Aerobics I
SHS,352,3.6203000000000003,100,Hearing Health and Society
IHLT,475,3.861919191919192,99,Field Experience in i-Health
SHS,271,3.691894736842105,95,Communication and Aging
KIN,107,3.887826086956522,92,Canoeing
REHB,435,3.885222222222222,90,Work and Disability
SHS,221,3.326444444444444,90,American Sign Language II
RST,120,3.675061728395062,81,Foundations of Community Rec
KIN,103,3.866625,80,Badminton
SHS,430,3.806075949367089,79,Devel & Disorders Phonol Artic
RST,150,3.558571428571428,77,Foundations of Tourism
SHS,427,2.776578947368421,76,Language and the Brain
SHS,380,3.439420289855072,69,Comm Competence and Disorders
CHLH,407,3.906764705882353,68,"Disability, Culture & Society"
KIN,451,3.505,66,Skeletal Muscle Physiology
RST,217,3.528307692307692,65,Public Recreation
SHS,571,3.4025862068965522,58,Clinical Sociolinguistics
SHS,577,3.91859649122807,57,Advanced Practicum in SHS
SHS,431,3.6910909090909083,55,Lang Disorders Preschool Child
