subject,number,avg_gpa,sum_students,title
FSHN,120,3.5683444691907953,2694,Contemporary Nutrition
ANSC,250,3.594710860366714,2127,Companion Animals in Society
NRES,102,3.159887278582931,1863,Introduction to NRES
HDFS,105,3.792171189979123,1437,Intro to Human Development
FSHN,101,3.368413639733136,1349,Intro Food Science & Nutrition
ACE,161,3.587761674718196,1242,Microcomputer Applications
ANSC,207,3.537131782945735,774,Companion Animal Biology &Care
AGED,260,3.466950904392765,774,Intro to Leadership Studies
HORT,105,3.574700460829494,651,Vegetable Gardening
CPSC,131,3.527515432098764,648,Agriculture in Mythology
ACE,251,3.263844884488448,606,The World Food Economy
ACE,240,3.192799227799227,518,Personal Financial Planning
HORT,107,3.656711409395973,447,Introduction to Floral Design
NRES,101,3.33816091954023,435,Wildlife Conserv 21st Century
CPSC,440,3.094391408114557,419,Applied Statistical Methods I
ANSC,100,3.350774818401937,413,Intro to Animal Sciences
CPSC,116,3.814921052631579,380,The Global Food Production Web
HORT,430,3.544166666666667,372,Children and Nature
ANSC,101,3.416378378378378,370,Contemporary Animal Issues
ACE,231,3.456766304347826,368,Food and Agribusiness Mgt
ACE,222,3.3565384615384612,364,Agricultural Marketing
CPSC,213,2.91497159090909,352,Evolution in Action
FSHN,471,3.460568181818182,352,Food & Industrial Microbiology
HDFS,220,3.170804597701149,348,Families in Global Perspective
CPSC,112,3.259854651162791,344,Introduction to Crop Sciences
ACE,428,3.219878048780488,328,Commodity Futures and Options
NRES,201,2.625846153846153,325,Introductory Soils
ANSC,221,2.862320261437908,306,"Cells, Metabolism and Genetics"
ANSC,223,2.8590789473684213,304,Animal Nutrition
ACE,210,2.988046357615893,302,Environmental Economics
TSM,311,3.631966101694915,295,Humanity in the Food Web
ANSC,222,2.436067796610169,295,Anatomy and Physiology
ACE,100,2.545646258503401,294,Agr Cons and Resource Econ
ANSC,224,2.793205574912892,287,Animal Reproduction and Growth
ANSC,498,3.901254355400696,287,Integrating Animal Sciences
ANSC,298,3.892218181818182,275,Undergraduate Seminar
ACE,435,3.382878228782287,271,Global Agribusiness Management
AGED,380,3.724924812030075,266,Leadership in Groups and Teams
NRES,287,3.358905660377358,265,Environment and Society
HDFS,120,3.529389312977099,262,Intro to Family Studies
ACE,345,3.560163934426229,244,Finan Decision Indiv Sm Bus
ACE,261,2.496065573770492,244,Applied Statistical Methods
ACE,444,3.33225,240,Finan Serv & Invest Plan
