subject,number,avg_gpa,sum_students,title
CS,101,3.166906238599052,2741,Intro Computing: Engrg & Sci
CS,498,3.167072157159049,2647,Digital Forensics
CS,105,3.512427536231883,2484,Intro Computing: Non-Tech
CS,225,3.169813689752937,2469,Data Structures
CS,125,3.402703056768559,2290,Intro to Computer Science
CS,173,3.092190569744599,2036,Discrete Structures
ECE,110,3.326920529801325,1812,Introduction to Electronics
ECE,120,2.9964713375796173,1570,Introduction to Computing
TAM,212,2.888790035587189,1405,Introductory Dynamics
ECE,210,2.7393247126436773,1392,Analog Signal Processing
ECE,220,2.870828220858896,1304,Computer Systems & Programming
ECE,313,2.761236947791163,1245,Probability with Engrg Applic
ECE,385,3.1603706823925872,1187,Digital Systems Laboratory
CS,233,2.882567796610169,1180,Computer Architecture
TAM,251,2.9321230502599662,1154,Introductory Solid Mechanics
ECE,205,2.80515761821366,1142,Elec & Electronic Circuits
CS,357,2.9649051233396593,1054,Numerical Methods I
ME,300,2.92615157480315,1016,Thermodynamics
CS,241,2.788491902834008,988,System Programming
TAM,211,2.69595588235294,952,Statics
CS,210,3.551260606060605,825,Ethical & Professional Issues
TAM,210,2.853011292346299,797,Introduction to Statics
CS,411,3.271359593392631,787,Database Systems
IE,300,3.020481144343304,769,Analysis of Data
ECE,391,2.9599471598414793,757,Computer Systems Engineering
ECE,340,2.6884820239680423,751,Semiconductor Electronics
CS,440,3.140293724966622,749,Artificial Intelligence
CS,425,3.265307582260372,699,Distributed Systems
TAM,335,2.709,690,Introductory Fluid Mechanics
CS,465,3.138674521354933,679,User Interface Design
CS,242,3.36447251114413,673,Programming Studio
ECE,342,3.110254491017963,668,Electronic Circuits
CS,418,3.250030120481928,664,Interactive Computer Graphics
ME,170,3.777368421052632,646,Computer-Aided Design
ECE,310,2.874563862928349,642,Digital Signal Processing
ECE,330,2.60867716535433,635,Power Ckts & Electromechanics
ECE,329,2.8945527156549513,626,Fields and Waves I
ME,199,3.922785829307568,621,Design Projects
ECE,445,3.085089722675366,613,Senior Design Project Lab
CS,196,3.784577702702701,592,Freshman Honors
CEE,330,3.320152542372882,590,Environmental Engineering
CS,100,3.7750766609880753,587,Freshman Orientation
ME,330,3.468993174061433,586,Engineering Materials
CS,421,3.397962328767123,584,Progrmg Languages & Compilers
CS,461,2.92261617900172,581,Computer Security I
ME,270,3.092054054054053,555,Design for Manufacturability
CS,450,3.149,520,Numerical Analysis
CEE,195,3.71816733067729,502,About Civil Engineering
ME,360,3.346653061224489,490,Signal Processing
ENG,198,3.76983436853002,483,Inspiring Interacting Informin
NPRE,402,3.5094055201698513,471,Nuclear Power Engineering
ME,470,3.803841201716738,466,Senior Design Project
CEE,201,3.13935064935065,462,Systems Engrg & Economics
CS,412,3.060393013100435,458,Introduction to Data Mining
ME,310,2.90849223946785,451,Fundamentals of Fluid Dynamics
ME,320,2.982259507829977,447,Heat Transfer
ME,371,3.66859410430839,441,Mechanical Design II
CEE,202,3.24265909090909,440,Engineering Risk & Uncertainty
CS,446,3.346264501160092,431,Machine Learning
CEE,320,3.347811764705882,425,Construction Engineering
MSE,280,3.075576470588235,425,Engineering Materials
CS,410,3.863087885985748,421,Text Information Systems
ME,340,3.270457831325301,415,Dynamics of Mechanical Systems
ENG,360,3.807677261613692,409,Lect in Engrg Entrepreneurship
ME,370,3.447673267326732,404,Mechanical Design I
CS,374,2.503652392947103,397,Intro to Algs & Models of Comp
CEE,421,3.474461538461537,390,Construction Planning
AE,199,3.5614285714285723,385,Computer Aided Design
CEE,380,2.8650391644908613,383,Geotechnical Engineering
ECE,343,3.613031914893617,376,Electronic Circuits Laboratory
CEE,422,3.387626666666667,375,Construction Cost Analysis
CEE,300,3.004634146341462,369,Behavior of Materials
CEE,360,3.052690217391304,368,Structural Engineering
CEE,420,3.5278977272727268,352,Construction Productivity
ECE,411,2.940057306590258,349,Computer Organization & Design
IE,310,3.26628242074928,347,Operations Research
CS,438,2.841797101449274,345,Communication Networks
CEE,498,3.8222822822822833,333,Sustainable Infrastructure Sys
CS,296,3.6936728395061733,324,Honors Course
ECE,333,3.123509316770186,322,Green Electric Energy
GE,261,3.115015974440894,313,Business Side of Engineering
CS,427,3.28438127090301,299,Software Engineering I
CEE,310,3.018080808080808,297,Transportation Engineering
ECE,408,3.435774647887324,284,Applied Parallel Programming
ECE,311,3.494326241134752,282,Digital Signal Processing Lab
CEE,460,3.550178571428571,280,Steel Structures I
AE,100,3.738399999999999,275,Intro to Aerospace Engineering
GE,495,3.894799999999999,275,Senior Engineering Project II
NPRE,201,3.7514285714285722,273,Energy Systems
AE,353,3.566394052044609,269,Aerospace Control Systems
GE,400,3.64749063670412,267,Engineering Law
ECE,486,3.465955056179774,267,Control Systems
AE,202,3.195547169811321,265,Aerospace Flight Mechanics
CS,431,2.874007782101167,257,Embedded Systems
MSE,201,3.257380952380953,252,Phases and Phase Relations
ABE,430,3.932163265306122,245,Project Management
ME,471,3.391923076923077,234,Finite Element Analysis
AE,321,2.46448717948718,234,Mechs of Aerospace Structures
MSE,401,3.02471615720524,229,Thermodynamics of Materials
CS,423,3.643244444444444,225,Operating Systems Design
CEE,461,3.119066666666666,225,Reinforced Concrete I
AE,311,3.043558558558559,222,Incompressible Flow
AE,312,2.781176470588235,221,Compressible Flow
ECE,206,3.819954545454546,220,Elec & Electronic Circuits Lab
ECE,316,3.720733944954128,218,Ethics and Engineering
MSE,395,3.674906542056075,214,Materials Design
AE,323,2.616995305164319,213,Applied Aerospace Structures
AE,442,3.273095238095238,210,Aerospace Systems Design I
ENG,199,3.811238095238094,210,MEP Mentoring
AE,460,3.735645933014353,209,Aerodynamics & Propulsion Lab
AE,370,3.293285024154589,207,Aerospace Numerical Methods
BIOE,414,3.394734299516909,207,Biomedical Instrumentation
MSE,402,3.270436893203883,206,Kinetic Processes in Materials
ENG,471,3.686682926829268,205,Seminar Energy & Sustain Engrg
CEE,470,3.031542288557214,201,Structural Analysis
MSE,406,3.038499999999999,200,Thermal-Mech Behavior of Matls
AE,483,3.69756345177665,197,UAV Navigation and Control
AE,352,3.382893401015228,197,Aerospace Dynamical Systems
MSE,304,2.724693877551021,196,Electronic Properties of Matls
MSE,206,3.02045918367347,196,Mechanics for MatSE
CS,460,3.6206632653061233,196,Security Laboratory
ECE,515,3.629170984455958,193,Control System Theory & Design
ECE,464,2.9879687500000003,192,Power Electronics
ENG,466,3.626526315789473,190,High-Tech Venture Marketing
MSE,308,3.301336898395722,187,Materials Laboratory II
CS,598,3.79,187,Advanced Information Retrieval
CEE,462,3.469677419354838,186,Steel Structures II
MSE,307,3.238108108108108,185,Materials Laboratory I
GE,100,3.856378378378378,185,Introduction to ISE
MSE,182,3.363043478260869,184,Introduction to MatSE
CS,492,3.310601092896174,183,Senior Project I
MSE,450,3.208715083798883,179,Polymer Science & Engineering
ECE,350,3.067640449438202,178,Fields and Waves II
CS,493,3.589887005649717,177,"Senior Project II, ACP"
ECE,444,3.373522727272727,176,IC Device Theory & Fabrication
AE,461,3.737329545454545,176,Structures & Control Lab
MSE,405,3.174476744186046,172,Microstructure Determination
CS,466,3.420581395348837,172,Introduction to Bioinformatics
AE,443,3.7120467836257323,171,Aerospace Systems Design II
CS,429,3.443058823529411,170,"Software Engineering II, ACP"
CEE,570,3.204294117647058,170,Finite Element Methods
ECE,549,3.872705882352941,170,Computer Vision
MSE,470,3.4258823529411773,170,Design and Use of Biomaterials
CEE,350,3.457514792899408,169,Water Resources Engineering
IE,430,3.0852976190476182,168,Economic Found of Quality Syst
ENG,333,3.510297619047619,168,"Creativity, Innovation, Vision"
CEE,472,3.542168674698795,166,Structural Dynamics I
CEE,437,3.292969696969697,165,Water Quality Engineering
IE,413,2.898848484848484,165,Simulation
BIOE,302,3.418136645962733,161,Modeling Human Physiology
CEE,465,3.238385093167701,161,Design of Structural Systems
CEE,424,3.43775,160,Sustainable Const Methods
