subject,number,avg_gpa,sum_students,title
ECON,102,3.375653095202055,6607,Microeconomic Principles
CHEM,103,3.610177466623249,6142,General Chemistry Lab I
STAT,100,3.389856340819022,6056,Statistics
CHEM,102,2.431201260992204,6027,General Chemistry I
MATH,241,2.74449272693795,5431,Calculus III
PSYC,100,2.877353006930473,4473,Intro Psych
MATH,231,2.730736564299424,4168,Calculus II
PHYS,211,2.907814636616867,3949,University Physics: Mechanics
PHYS,212,2.8571238591916552,3835,University Physics: Elec & Mag
ECON,103,2.8481719532554273,3594,Macroeconomic Principles
CHEM,105,3.731921348314608,3560,General Chemistry Lab II
CHEM,104,2.597708996239514,3457,General Chemistry II
ECON,302,2.9456817509612563,3381,Inter Microeconomic Theory
LAS,101,3.614052728387497,3262,Freshman Seminar
MATH,415,2.9933090794052513,3161,Applied Linear Algebra
MATH,285,2.996985905312613,2767,Intro Differential Equations
ASTR,100,3.129479525449675,2613,Introduction to Astronomy
STAT,400,3.105434108527131,2580,Statistics and Probability I
ECON,203,2.729474912485415,2571,Economic Statistics II
PHYS,214,2.857277936962749,2443,Univ Physics: Quantum Physics
ATMS,120,3.833248355263157,2432,Severe and Hazardous Weather
PHYS,213,2.81507685738685,2342,Univ Physics: Thermal Physics
MATH,220,2.450396893874028,2318,Calculus
CHEM,232,2.4460458586803933,2137,Elementary Organic Chemistry I
ANTH,143,3.5265451055662203,2084,Biology of Human Behavior
RLST,110,3.243844294003869,2068,World Religions
IB,105,3.168554514060188,2027,Environmental Biology
SOC,100,3.274549527127924,2009,Introduction to Sociology
MATH,221,2.763761562178828,1946,Calculus I
CHEM,233,3.389568267674042,1853,Elementary Organic Chem Lab I
ECON,202,2.892939262472884,1844,Economic Statistics I
PSYC,201,3.060946681175192,1838,Intro to Social Psych
CLCV,115,3.503301622831561,1787,Mythology of Greece and Rome
ATMS,100,3.233251847640705,1759,Introduction to Meteorology
ANTH,103,3.083199310740954,1741,Anthro in a Changing World
CHEM,101,2.717659574468084,1692,Introductory Chemistry
MCB,150,2.87390938511327,1545,Molec & Cellular Basis of Life
ECON,490,3.256216768916155,1467,Econ of Poverty Alleviation
MATH,125,2.774193103448276,1450,Elementary Linear Algebra
CHEM,199,3.930966386554622,1428,Undergraduate Open Seminar
PHYS,101,2.692691761363635,1408,College Physics: Mech & Heat
PSYC,238,3.28731386861314,1370,Abnormal Psych
IB,100,3.143183549124143,1313,Biology in Today's World
MCB,244,2.75247895944912,1307,Human Anatomy & Physiology I
ANTH,101,2.80467032967033,1274,Introduction to Anthropology
MCB,450,2.7417959183673473,1225,Introductory Biochemistry
MATH,225,2.821684382665577,1223,Introductory Matrix Theory
ECON,303,2.94593091828138,1187,Inter Macroeconomic Theory
MATH,286,2.76967381974249,1165,Intro to Differential Eq Plus
STAT,200,3.490458477508651,1156,Statistical Analysis
MCB,246,2.774006938421508,1153,Human Anatomy & Physiology II
CMN,102,3.170034995625547,1143,Intro to Comm Theory & Res
MATH,234,2.644418394950406,1109,Calculus for Business I
PHYS,102,2.77259499536608,1079,College Physics: E&M & Modern
MATH,115,2.413054511278196,1064,Preparation for Calculus
CMN,368,3.2911685823754793,1044,Sexual Communication
STAT,420,3.57318363273453,1002,Methods of Applied Statistics
CHEM,332,2.60380904522613,995,Elementary Organic Chem II
MCB,245,2.330472837022133,994,Human Anat & Physiol Lab I
MATH,299,2.993939393939394,990,Topics in Mathematics
GEOL,118,3.111262729124236,982,Natural Disasters
MCB,100,2.8622722513089,955,Introductory Microbiology
PHYS,100,3.163144058885384,951,Thinking About Physics
ANTH,246,3.602030905077262,906,Forensic Science
PSYC,216,3.180465380249716,881,Child Psych
PS,101,2.951386603995301,851,Intro to US Gov & Pol
MCB,247,2.575748427672955,795,Human Anat & Physiol Lab II
STAT,410,3.084533678756476,772,Statistics and Probability II
PHIL,102,3.091002747252747,728,Logic and Reasoning
PSYC,230,3.303496503496503,715,Perception & Sensory Processes
CMN,230,3.322245508982036,668,Intro to Interpersonal Comm
MATH,124,3.052834890965732,642,Finite Mathematics
PSYC,210,2.679158878504672,642,Behavioral Neuroscience
CMN,375,3.036488188976377,635,American Gangster Films
PS,100,3.303454833597464,631,Intro to Political Science
STAT,425,3.402631578947367,627,Applied Regression and Design
MATH,112,2.6226537216828483,618,Algebra
MCB,252,3.280504885993485,614,"Cells, Tissues & Development"
MATH,347,3.042467320261439,612,Fundamental Mathematics
ECON,420,3.261606557377049,610,International Economics
MCB,101,3.41514049586777,605,Intro Microbiology Laboratory
PHYS,225,2.915522388059701,603,Relativity & Math Applications
STAT,430,3.523416666666667,600,Applied Bayesian Analysis
PSYC,245,3.176847457627118,590,Industrial Org Psych
MCB,253,3.703316326530611,588,Exp Techniqs in Cellular Biol
MCB,301,3.202089810017271,579,Experimental Microbiology
ASTR,122,3.183143350604491,579,Stars and Galaxies
LING,111,3.666857638888889,576,Language in Globalization
AAS,100,3.549756521739129,575,Intro Asian American Studies
PS,280,3.041333333333334,570,Intro to Intl Relations
ECON,452,3.146617915904936,547,The Latin American Economies
STAT,212,3.351792975970426,541,Biostatistics
CMN,396,3.092661737523105,541,Org Comm & Diversity
PHIL,101,2.990772128060264,531,Introduction to Philosophy
CHEM,203,2.892165725047081,531,Accelerated Chemistry Lab I
MATH,461,2.8056463878327023,526,Probability Theory
HIST,100,3.531066666666665,525,Global History
CHEM,236,2.7683076923076912,520,Fundamental Organic Chem I
CHEM,202,2.528585271317829,516,Accelerated Chemistry I
CHEM,237,2.9846213592233,515,Structure and Synthesis
PSYC,250,3.165661478599221,514,Psych of Personality
CMN,336,3.258411764705882,510,Family Communication
ASTR,121,2.950826771653544,508,The Solar System
ANTH,180,3.179402390438246,502,The Archaeology of Death
ASTR,330,3.519068825910932,494,Extraterrestrial Life
GLBL,100,3.5793890020366588,491,Intro to Global Studies
MCB,251,3.725571428571427,490,Exp Techniqs in Molecular Biol
CHBE,221,2.718139059304704,489,Principles of CHE
CLCV,111,2.959464668094218,467,Mythology of Greece and Rome
CHEM,442,3.279186295503212,467,Physical Chemistry I
LING,100,3.37557939914163,466,Intro to Language Science
PSYC,248,2.815658747300216,463,Learning and Memory
PSYC,224,2.798394793926246,461,Cognitive Psych
PS,220,2.79691304347826,460,Intro to Public Policy
IB,329,3.561899563318777,458,Animal Behavior
CHEM,420,2.884732142857143,448,Instrumental Characterization
CLCV,102,3.349232505643342,443,Medical Terms-GRK & LAT Roots
PHYS,325,3.057619047619047,441,Classical Mechanics I
MATH,441,2.653839080459771,435,Differential Equations
CHEM,205,2.881879350348028,431,Accelerated Chemistry Lab II
IB,360,3.436431924882629,426,Evolution and Human Health
CHEM,204,2.629218009478673,422,Accelerated Chemistry II
IB,150,3.202066508313539,421,Organismal & Evolutionary Biol
GEOG,106,3.4343675417661093,419,Geographies of Globalization
CHBE,422,2.8042925659472413,417,Mass Transfer Operations
CHBE,421,2.7420147420147423,407,Momentum and Heat Transfer
CHEM,315,3.013316831683168,404,Instrumental Chem Systems Lab
CHBE,321,3.0218407960199,402,Thermodynamics
GEOL,117,3.037017543859649,399,The Oceans
CMN,277,2.907914572864321,398,Intro to Mediated Comm
MATH,416,2.9148994974874363,398,Abstract Linear Algebra
PSYC,403,3.454773869346733,398,Memory and Amnesia
CMN,212,3.2663727959697733,397,Intro to Organizational Comm
ASTR,150,3.430378787878788,396,Killer Skies: Astro-Disasters
