subject,number,avg_gpa,sum_students,title
MACS,100,3.432513255567338,1886,Intro to Popular TV & Movies
ADV,150,3.437345971563981,1266,Introduction to Advertising
JOUR,200,3.152016129032258,868,Introduction to Journalism
MACS,101,3.497703703703703,675,Intro to the Media
ADV,283,3.809086859688195,449,Advertising and Brand Strategy
ADV,281,2.882433035714285,448,Advertising Research Methods
ADV,310,3.153587443946188,446,Intro to Public Relations
ADV,460,3.6180622009569383,418,Innovation in Advertising
ADV,284,3.654447115384615,416,Consumer Insight
ADV,390,3.003680203045685,394,Content Creation
ADV,483,3.348763157894736,380,Audience Analysis
MACS,356,3.721553133514986,367,Sex & Gender in Popular Media
MDIA,100,3.35273381294964,278,College of Media Orientation
ADV,410,3.579208633093525,278,Public Relations Strategies
MACS,351,3.051835205992509,267,Social Aspects of Media
JOUR,311,3.459098360655738,244,Media Law
MDIA,370,3.838324607329843,191,Advanced Media Sales
MACS,320,3.024023668639053,169,Popular Culture
ADV,393,3.592590361445784,166,Advertising and Society
JOUR,205,2.5200613496932522,163,History of American Journalism
MDIA,390,3.6992903225806453,155,Digital Photo. for Everyone
MDIA,270,3.8844736842105263,152,Introduction to Media Sales
ADV,490,3.550805369127516,149,Sports PR
MACS,326,3.669558823529411,136,"New Media, Culture & Society"
ADV,498,3.847786259541985,131,The Sandage Project
ADV,312,3.002635658914729,129,Advertising History
MACS,264,3.174117647058823,119,Creative and Info Economies
MDIA,320,3.753571428571428,112,Media Sales Management
MACS,262,3.096153846153846,104,Survey of World Cinema II
MACS,261,2.95118811881188,101,Survey of World Cinema I
MDIA,199,3.507340425531914,94,James Bond & Soc. Change
MACS,199,2.95030303030303,66,Intro to Film&Media Production
MACS,361,3.391724137931034,58,Film Theory and Criticism
JOUR,360,3.7194736842105263,57,The Media and You
MACS,317,3.170363636363636,55,Media History
MACS,203,3.723518518518519,54,Contemporary Movies
ADV,311,3.490943396226415,53,Classic Campaigns
MDIA,223,2.870612244897959,49,Watching the Environment
MACS,389,3.270212765957446,47,International Communications
MACS,395,3.819130434782609,46,Introduction to Digital Video
JOUR,460,3.413695652173913,46,Crisis Communications
ADV,350,3.666888888888888,45,Writing for Public Relations
JOUR,453,3.8415909090909093,44,Crisis Communications
ADV,492,3.587619047619048,42,Tech and Advertising Campaigns
MDIA,290,3.171621621621621,37,ESPN: This Is SportsCenter
MACS,410,3.37625,32,Media Ethics
MDIA,380,3.551875,32,21st Century Documentaries
JOUR,250,3.849677419354838,31,Journalism Ethics & Diversity
MACS,464,2.6341935483870973,31,Film Festivals
MACS,295,3.036666666666666,27,Entertainment Industry Studies
ADV,409,3.467777777777777,27,Media Entrepreneurship
JOUR,199,3.64,25,Sports Journalism Today
MACS,224,3.444583333333333,24,Sportsmedia Technology Culture
JOUR,425,3.015454545454545,22,Multimedia Editing and Design
ADV,478,2.9519047619047623,21,Psychology of Advertising
