subject,number,avg_gpa,sum_students,title
THEA,101,3.637009752699412,5742,Introduction to Theatre Arts
MUS,133,3.437731510254817,1609,Introduction to World Music
MUS,130,3.29563322368421,1216,Introd to the Art of Music
DANC,100,3.801733668341709,398,Intro to Contemporary Dance
MUS,250,3.926082191780822,365,Philharmonia Orchestra
ARCH,101,3.588459302325582,344,Introduction to Architecture
UP,101,3.26221183800623,321,Introduction to City Planning
ART,105,3.776915254237288,295,Visual Design for Non-Majors
ART,100,3.486408450704225,284,Understanding Visual Culture
ARCH,210,3.049787234042553,282,Intro to the Hist of Arch
ARTF,101,3.239490909090909,275,Contemporary Issues in Art
ARCH,341,2.7549433962264143,265,Environment Tech HVAC
ARCH,342,3.013621399176954,243,Environment Tech Ltg & Acoust
ARCH,231,3.333534482758621,232,Anatomy of Buildings
DANC,112,3.716493506493507,231,Hip Hop
ARCH,271,2.928206278026906,223,Graphics for Architects
ARCH,452,3.406816143497758,223,Theory of Reinforced Concrete
MUS,499,3.7302702702702693,222,Jazz Forum
THEA,100,3.7417117117117122,222,Practicum I
ARCH,451,3.157954545454545,220,Theory & Design Steel & Timber
ARCH,351,3.289403669724771,218,Statics & Dynamics
ARCH,352,3.287557603686636,217,Mech of Mat & Design Appl
MUS,110,3.136525821596244,213,Introd Art Mus: Intl Perspect
ARCH,233,3.155339805825242,206,Construction of Buildings
THEA,110,3.689476439790575,191,Broadway Musicals
MUS,314,3.167105263157894,190,The History of Music II
ARCH,272,3.175923913043479,184,Strategies of Arch Design
MUS,313,2.721460674157303,178,The History of Music I
MUS,269,3.913559322033898,177,Wind Orchestra
MUS,272,3.915740740740741,162,University Band
ART,310,3.599999999999999,154,Design Thinking
UP,418,3.5129251700680273,147,GIS for Planners
ARCH,502,3.498219178082192,146,Structural Planning
ARCH,577,3.016482758620689,145,Theory of Architecture
ARCH,417,3.671666666666667,138,Twentieth-Century Architecture
ARCH,412,2.96837037037037,135,Medieval Architecture
MUS,262,3.984375,128,Women's Glee Club
UP,480,3.277177419354838,124,Sustainable Design Principles
MUS,261,3.922892561983471,121,University Chorus
ARCH,410,2.7389166666666673,120,Ancient Egyptian & Greek Arch
ARCH,416,3.469833333333333,120,Modern American Architecture
ARCH,468,3.622033898305084,118,Overseas Architectural Studies
MUS,107,3.302457627118644,118,Aural Skills I
UP,430,3.499316239316239,117,Urban Transportation Planning
ARCH,409,3.193846153846153,117,Special Topics in Spanish Arch
MUS,501,3.4393269230769232,104,Western Music before 1750
LA,101,3.320576923076923,104,Introduction to Landscape Arch
MUS,241,3.804901960784313,102,Music for Elementary Teachers
MUS,268,3.946699999999999,100,Wind Symphony
MUS,450,3.959696969696969,99,U of I Symphony Orchestra
ART,202,3.926315789473684,95,Art in the Elementary Grades
ARTD,328,3.698631578947369,95,Human-Centered Product Design
DANC,107,3.6815217391304342,92,Ballet I
