subject,number,avg_gpa,sum_students,title
BTW,250,3.559114696903618,2293,Principles Bus Comm
LER,100,2.404079999999999,625,Introduction to Labor Studies
LER,110,2.486490909090908,550,Labor and Social Movements
LER,590,3.775604395604395,546,Collect Bargain Sports & Enter
SOCW,300,3.469324618736383,459,Diversity: Identities & Issues
SOCW,200,2.890969267139478,423,Introduction to Social Work
INFO,202,3.365656565656565,396,Social Aspects Info Tech
PLPA,200,3.276207792207792,385,"Plants, Pathogens, and People"
INFO,490,3.448628571428571,350,Foundations of Data Science
BTW,261,3.493975155279503,322,Principles Tech Comm
SOCW,589,3.68901023890785,293,Social Work and the Law
SOCW,410,3.700809859154929,284,Social Welfare Pol and Svcs
LER,120,2.435355648535564,239,Contemporary Labor Problems
LER,591,3.786765957446807,235,Employment Relations Systems
SOCW,552,3.744517543859649,228,HBSE II: Mental Disorders
SOCW,427,3.546217616580311,193,Social Work Research Methods
LER,593,3.618341968911916,193,Quantitative Methods in LER
SOCW,321,3.760781249999999,192,Social Entre & Social Change
LER,543,3.69367816091954,174,Workplace Dispute Resolution
LER,545,3.532083333333334,168,Economics of Human Resources
LER,565,3.713263888888889,144,HR Management and Strategy
SOCW,451,3.648142857142857,140,HBSE I: Human Development
SOCW,542,3.567686567164178,134,Program Evaluation
SOCW,541,3.5019685039370083,127,Clinical Research Seminar
SOCW,500,3.854065040650407,123,SW Practice with Indiv and Fam
PLPA,204,3.3411111111111103,117,Introductory Plant Pathology
LER,523,3.772072072072071,111,Org Fundamentals for HR
SOCW,297,3.857818181818182,110,Asian Families in America
LER,562,3.756018518518518,108,HR Planning and Staffing
LER,568,3.5005660377358483,106,Firm Performance and HR
LER,595,3.747115384615385,104,Managing Diversity Globally
LER,567,3.821720430107527,93,Negotiation in HR Decisions
SOCW,402,3.594239130434783,92,Practice II
LER,542,3.5438043478260868,92,Collective Bargaining
SOCW,401,3.6926373626373623,91,Practice I
INFO,102,3.055411764705882,85,Little Bits to Big Ideas
SOCW,240,3.393855421686747,83,Death & Dying
LER,522,3.928799999999999,75,Government Regulation
SOCW,403,3.554084507042253,71,Practice III
LER,561,3.892205882352941,68,Compensation Systems
SOCW,101,3.254477611940298,67,SOCW Orientation Seminar
SOCW,360,3.89864406779661,59,Social Work and the Military
SOCW,199,3.482586206896551,58,Social Work Freshman Seminar
PLPA,407,3.172241379310345,58,Diseases of Field Crops
SOCW,416,3.543508771929825,57,Child Welfare Issues & Trends
SOCW,420,3.714464285714285,56,Subst Use in Social Context
LER,566,3.760555555555555,54,International HR Management
SOCW,471,3.816326530612245,49,Prof Practice Seminar II
SOCW,505,3.9099999999999993,48,Behav and Cogn Methods for SW
SOCW,509,3.787659574468085,47,Adv Clin Assess & Interviewing
SOCW,514,3.851063829787234,47,Mental Health Pol and Svcs
BTW,271,3.5922222222222233,45,Persuasive Writing
LER,569,3.923333333333333,39,Power & Influence in HRM
SOCW,415,3.885172413793103,29,Social Services for the Aged
LER,564,3.9403571428571422,28,HR Training and Development
SOCW,472,3.8804,25,BSW Special Field Project
LER,199,3.0404,25,Work and Labor in Sports Indus
SOCW,225,2.8754166666666663,24,Intro Stat for Social Work
SOCW,513,3.972083333333333,24,Delivery of Health Care
SOCW,503,3.805416666666666,24,Trauma Informed SW Practice
AFST,210,3.3616666666666672,24,Intro to Mod African Lit
SOCW,455,3.680833333333333,24,Social Work with Women
SOCW,400,3.7104347826086963,23,Generalist SW Practice Methods
SOCW,501,3.753913043478261,23,SW Practice with Groups
SOCW,380,3.826666666666666,21,Social Work & Dis Studies
SOCW,561,3.795238095238095,21,SBIRT/MI
